
************ New Dialogue **************
Start: 2010/05/19 11:47:48 AM
End 2010/05/19 11:47:48 AM

************ New Dialogue **************
Start: 2010/05/19 11:52:33 AM
End 2010/05/19 11:52:33 AM

************ New Dialogue **************
Start: 2010/05/19 11:52:42 AM
End 2010/05/19 11:52:42 AM

************ New Dialogue **************
Start: 2010/05/19 11:54:06 AM
End 2010/05/19 11:54:06 AM

************ New Dialogue **************
Start: 2010/05/19 11:54:28 AM
End 2010/05/19 11:54:28 AM

************ New Dialogue **************
Start: 2010/05/19 11:55:48 AM
End 2010/05/19 11:55:48 AM

************ New Dialogue **************
Start: 2010/05/19 11:57:25 AM
End 2010/05/19 11:57:25 AM

************ New Dialogue **************
Start: 2010/05/19 12:09:40 PM
End 2010/05/19 12:09:40 PM

************ New Dialogue **************
Start: 2010/05/19 12:12:50 PM
End 2010/05/19 12:12:50 PM

************ New Dialogue **************
Start: 2010/05/19 12:19:22 PM
End 2010/05/19 12:19:22 PM

************ New Dialogue **************
Start: 2010/05/19 12:22:57 PM
End 2010/05/19 12:22:57 PM

************ New Dialogue **************
Start: 2010/05/19 12:36:04 PM
End 2010/05/19 12:36:04 PM

************ New Dialogue **************
Start: 2010/05/19 12:37:58 PM
End 2010/05/19 12:37:58 PM

************ New Dialogue **************
Start: 2010/05/19 12:38:09 PM
End 2010/05/19 12:38:09 PM

************ New Dialogue **************
Start: 2010/05/19 12:41:44 PM
End 2010/05/19 12:41:44 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:00 PM
End 2010/05/19 02:57:00 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:00 PM
End 2010/05/19 02:57:00 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:00 PM
End 2010/05/19 02:57:00 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:00 PM
End 2010/05/19 02:57:00 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:01 PM
End 2010/05/19 02:57:01 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:01 PM
End 2010/05/19 02:57:01 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:01 PM
End 2010/05/19 02:57:01 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:01 PM
End 2010/05/19 02:57:01 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:01 PM
End 2010/05/19 02:57:01 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:01 PM
End 2010/05/19 02:57:01 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:01 PM
End 2010/05/19 02:57:01 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:02 PM
