11:12:18 PM, Driver, call patrick
11:12:34 PM, Driver, call janet
08:38:17 PM, Driver, call patrick
08:38:37 PM, Driver, call patrick
08:38:40 PM, Driver, call patrick
08:38:43 PM, Driver, call patrick
08:38:47 PM, Driver, call patrick
08:38:51 PM, Driver, call patrick
08:38:57 PM, Driver, cancel
08:38:57 PM, System, Cancelling...
08:39:01 PM, Driver, what time is it?
08:39:01 PM, System, the time is 8  39
08:39:06 PM, Driver, what time is it?
08:39:06 PM, System, the time is 8  39
08:39:11 PM, Driver, what time is it?
08:39:11 PM, System, the time is 8  39
08:39:57 PM, Driver, call patrick
08:39:57 PM, System, Do you want to call patrick. Say 'Yes' or 'No'
08:40:14 PM, Driver, agreed
08:40:14 PM, System, Calling patrick on 0768354159
08:40:21 PM, Driver, cancel
08:40:21 PM, System, Cancelling...
08:40:23 PM, Driver, exit
08:40:23 PM, System, Cancelling...
08:40:29 PM, Driver, restart
08:40:29 PM, System, Cancelling...
08:40:31 PM, Driver, exit
08:40:31 PM, System, Cancelling...
10:48:00 AM, Driver, callback victor
10:48:13 AM, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' 
01:16:31 PM, Driver, ok nah
01:16:45 PM, System, Cancelling the callback request.
01:16:53 PM, Driver, call patrick
01:16:53 PM, System, Do you want to call patrick. Say 'Yes' or 'No'
01:16:59 PM, Driver, yes
01:16:59 PM, System, Calling patrick on 0768354159
01:17:09 PM, Driver, call sanele
01:17:09 PM, System, Do you want to call sanele. Say 'Yes' or 'No'
01:17:14 PM, Driver, yes
01:17:15 PM, System, Calling sanele on 0796786222
01:17:31 PM, Driver, callback
01:17:31 PM, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' 
01:17:40 PM, Driver, yes
01:17:40 PM, System, Calling John Doe
01:18:12 PM, Driver, redial
01:18:23 PM, System, Do you want to redial John Doe ? Say 'Yes' or 'No' 
01:18:30 PM, Driver, yes
01:18:30 PM, System, Calling John Doe
01:18:36 PM, Driver, call sanele
01:18:36 PM, System, Do you want to call sanele. Say 'Yes' or 'No'
01:18:43 PM, Driver, yes
01:18:43 PM, System, Calling sanele on 0796786222
01:18:57 PM, Driver, callback
01:18:57 PM, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' 
01:19:02 PM, Driver, no
01:19:02 PM, System, Cancelling the callback request.
01:19:09 PM, Driver, <Button> Call
01:19:09 PM, Driver, dial
01:19:12 PM, Driver, time
01:19:29 PM, Driver, cancel
