2010/05/23 14:56, Driver, Time,,
2010/05/23 14:56, System, the time is 2  56,,
2010/05/23 14:57, Driver, Callback,,
2010/05/23 14:57, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' ,,
2010/05/23 14:57, Driver, No,,
2010/05/23 14:57, System, Cancelling the callback request.,,
2010/05/23 14:57, Driver, Call Patrick,,
2010/05/23 14:57, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/23 14:57, Driver, Yes,,
2010/05/23 14:57, System, Calling Patrick on 0768354159,,
2010/05/23 14:57, Driver, Yeah,,
2010/05/23 14:57, Driver, Zero,,
2010/05/23 14:57, Driver, Dieter,,
2010/05/23 14:58, Driver, Redial,,
2010/05/23 14:58, System, Do you want to recall Patrick ? Say 'Yes' or 'No' ,,
2010/05/23 14:58, System, Calling Patrick,,
2010/05/23 14:58, Driver, Redial,,
2010/05/23 14:58, System, Do you want to recall Patrick ? Say 'Yes' or 'No' ,,
2010/05/23 14:58, Driver, Yes,,
2010/05/23 14:58, System, Calling Patrick,,
2010/05/23 14:59, Driver, Sms Janet,,
2010/05/23 14:59, System, Do you want to  send a text message to Janet. Say 'Yes' or 'No',,
2010/05/23 14:59, Driver, Yes,,
2010/05/23 14:59, System, Sending the text message 2- Appointment postponed,,
2010/05/23 14:59, TEST, Task03,,
2010/05/23 15:00, Driver, Restart,,
2010/05/23 15:00, System, Resetting...,,
2010/05/23 15:00, Driver, Restart,,
2010/05/23 15:00, System, Resetting...,,
2010/05/23 15:00, Driver, Send,,
2010/05/23 15:00, Driver, Cancel,,
2010/05/23 15:00, System, Resetting...,,
2010/05/23 15:00, Driver, Cancel,,
2010/05/23 15:00, System, Resetting...,,
2010/05/23 15:00, Driver, Send,,
2010/05/23 15:00, Driver, Send,,
2010/05/23 15:00, Driver, Time,,
2010/05/23 15:00, Driver, Time,,
2010/05/23 15:00, Driver, What time is it?,,
2010/05/23 15:00, Driver, What time is it?,,
2010/05/23 15:00, Driver, Cancel,,
2010/05/23 15:00, System, Resetting...,,
2010/05/23 15:00, Driver, Cancel,,
2010/05/23 15:00, System, Resetting...,,
2010/05/23 16:14, TEST, Task01,,
2010/05/23 16:15, Driver, What time is it?,,
2010/05/23 16:15, System, the time is 4  15,,
2010/05/23 16:15, Driver, Callback,,
2010/05/23 16:15, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' ,,
2010/05/23 16:15, Driver, Call Patrick,,
2010/05/23 16:15, Driver, Cancel,,
2010/05/23 16:15, System, Resetting...,,
,,,,
2010/05/23 16:19, P01, Task01,,
2010/05/23 16:19, Driver, Patrick,,
2010/05/23 16:19, Driver, Call Patrick,,
2010/05/23 16:19, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/23 16:19, Driver, Yes,,
2010/05/23 16:19, System, Calling Patrick on 0768354159,,
2010/05/23 16:20, P01, Task02,,
2010/05/23 16:20, Driver, Dial Felix,,
2010/05/23 16:20, Driver, Dial Felix,,
2010/05/23 16:20, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/23 16:20, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/23 16:20, Driver, Yes,,
2010/05/23 16:20, System, Calling Felix on 0789954545,,
2010/05/23 16:21, Driver, One,,
2010/05/23 16:21, Driver, One,,
2010/05/23 16:21, P01, Task03,,
2010/05/23 16:21, Driver, Janet,,
2010/05/23 16:21, Driver, Janet,,
2010/05/23 16:21, Driver, <Button> Call,,
2010/05/23 16:21, Driver, Janet,,
2010/05/23 16:21, Driver, Janet,,
2010/05/23 16:22, Driver, Janet,,
2010/05/23 16:22, Driver, Janet,,
2010/05/23 16:22, Driver, Janet,,
2010/05/23 16:22, System, Do you want to call Janet. Say 'Yes' or 'No',,
2010/05/23 16:22, Driver, Yes,,
2010/05/23 16:22, Driver, Yes,,
2010/05/23 16:22, Driver, Yes,,
2010/05/23 16:22, System, Calling Felix on 0789954545,,
2010/05/23 16:22, System, Calling Janet on 0827743624,,
2010/05/23 16:23, Driver, One,,
2010/05/23 16:23, Driver, One,,
2010/05/23 16:23, Driver, One,,
2010/05/23 16:23, P01, Task04,,
2010/05/23 16:23, Driver, <Button> Call,,
2010/05/23 16:23, Driver, One,,
2010/05/23 16:23, Driver, One,,
2010/05/23 16:23, Driver, One,,
2010/05/23 16:23, Driver, One,,
2010/05/23 16:23, Driver, double seven,,
2010/05/23 16:23, Driver, double seven,,
2010/05/23 16:23, Driver, double seven,,
2010/05/23 16:23, Driver, double seven,,
2010/05/23 16:23, Driver, Four,,
2010/05/23 16:23, Driver, Four,,
2010/05/23 16:23, Driver, Four,,
2010/05/23 16:23, Driver, Four,,
