2010/05/25 18:07, P03, Task01,,
2010/05/25 18:07, Driver, Call Patrick,,
2010/05/25 18:07, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/25 18:07, Driver, Eight,,
2010/05/25 18:08, Driver, <Button> Call,,
2010/05/25 18:08, Driver, Call,,
2010/05/25 18:08, System, Calling Patrick on 0768354159,,
2010/05/25 18:08, System, Please, go to the next task,
2010/05/25 18:08, Driver, Call Patrick,,
2010/05/25 18:08, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/25 18:08, Driver, Yes,,
2010/05/25 18:08, System, Calling Patrick on 0768354159,,
2010/05/25 18:08, System, Please, go to the next task,
2010/05/25 18:09, Driver, Dial Felix,,
2010/05/25 18:09, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/25 18:09, Driver, Yes,,
2010/05/25 18:09, System, Calling Felix on 0789954545,,
2010/05/25 18:09, System, Please, go to the next task,
2010/05/25 18:10, Driver, Call Michelle,,
2010/05/25 18:10, System, Do you want to call Michelle. Say 'Yes' or 'No',,
2010/05/25 18:10, Driver, No,,
2010/05/25 18:10, System, Cancelling the call request.,,
2010/05/25 18:10, Driver, Call Hyacinthe,,
2010/05/25 18:10, System, Do you want to call Hyacinthe. Say 'Yes' or 'No',,
2010/05/25 18:10, Driver, Yes,,
2010/05/25 18:10, System, Calling Hyacinthe on 0783113010,,
2010/05/25 18:10, System, Please, go to the next task,
2010/05/25 18:10, Driver, Call Peter,,
2010/05/25 18:10, System, Do you want to call Peter. Say 'Yes' or 'No',,
2010/05/25 18:10, Driver, No,,
2010/05/25 18:10, System, Cancelling the call request.,,
2010/05/25 18:11, Driver, Call Simone,,
2010/05/25 18:11, System, Do you want to call Simone. Say 'Yes' or 'No',,
2010/05/25 18:11, Driver, Yes,,
2010/05/25 18:11, System, Sorry, Simone number has not been found,
2010/05/25 18:11, Driver, <Button> Call,,
2010/05/25 18:11, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/25 18:11, Driver, <Button> Call,,
2010/05/25 18:11, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/25 18:12, Driver, <Button> Call,,
2010/05/25 18:12, Driver, Zero,,
2010/05/25 18:12, System, Sorry, your number 0  is  too short . Cancelling the command...,
2010/05/25 18:12, Driver, <Button> Call,,
2010/05/25 18:12, Driver, Say time,,
2010/05/25 18:12, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/25 18:12, Driver, <Button> Call,,
2010/05/25 18:13, Driver, Janet,,
2010/05/25 18:13, System, Do you want to call Janet. Say 'Yes' or 'No',,
2010/05/25 18:13, Driver, Yes,,
2010/05/25 18:13, System, Calling Janet on 0827743624,,
2010/05/25 18:13, System, Please, go to the next task,
2010/05/25 18:13, Driver, <Button> Call,,
2010/05/25 18:13, Driver, Call,,
2010/05/25 18:13, Driver, Zero,,
2010/05/25 18:13, Driver, Seven,,
2010/05/25 18:13, Driver, Seven,,
2010/05/25 18:13, Driver, Four,,
2010/05/25 18:13, Driver, Four,,
2010/05/25 18:13, Driver, Four,,
2010/05/25 18:13, Driver, Five,,
2010/05/25 18:13, Driver, Five,,
2010/05/25 18:13, Driver, Five,,
2010/05/25 18:13, Driver, Five,,
2010/05/25 18:13, System, Do you want to dial 0774445555. Say 'Yes' or 'No',,
2010/05/25 18:13, Driver, Yes,,
2010/05/25 18:13, System, Dialling 0774445555,,
2010/05/25 18:14, System, Please, go to the next task,
2010/05/25 18:14, Driver, <Button> Call,,
2010/05/25 18:14, Driver, Call,,
2010/05/25 18:14, Driver, Zero,,
2010/05/25 18:14, Driver, Seven,,
2010/05/25 18:14, Driver, Cancel,,
2010/05/25 18:14, System, Cancelling...,,
2010/05/25 18:15, Driver, <Button> Call,,
2010/05/25 18:15, Driver, Call,,
2010/05/25 18:15, Driver, Zero,,
2010/05/25 18:15, Driver, Two,,
2010/05/25 18:15, Driver, Cancel,,
2010/05/25 18:15, System, Cancelling...,,
2010/05/25 18:15, Driver, <Button> Call,,
2010/05/25 18:15, Driver, Call,,
2010/05/25 18:15, Driver, Zero,,
2010/05/25 18:15, Driver, Seven,,
2010/05/25 18:15, Driver, Two,,
2010/05/25 18:15, Driver, triple two,,
2010/05/25 18:15, Driver, double two,,
2010/05/25 18:15, Driver, double two,,
2010/05/25 18:15, System, Do you want to dial 0722222222. Say 'Yes' or 'No',,
2010/05/25 18:15, Driver, Yes,,
2010/05/25 18:15, System, Dialling 0722222222,,
2010/05/25 18:15, System, Please, go to the next task,
2010/05/25 18:16, Driver, <Button> Call,,
2010/05/25 18:16, Driver, Call,,
2010/05/25 18:16, Driver, Zero,,
2010/05/25 18:16, Driver, Seven,,
2010/05/25 18:16, Driver, Two,,
2010/05/25 18:16, Driver, triple two,,
2010/05/25 18:16, Driver, double three,,
2010/05/25 18:16, Driver, double three,,
2010/05/25 18:16, System, Do you want to dial 0722223333. Say 'Yes' or 'No',,
2010/05/25 18:16, Driver, Yes,,
2010/05/25 18:16, System, Dialling 0722223333,,
2010/05/25 18:16, System, Please, go to the next task,
2010/05/25 18:17, Driver, <Button> Call,,
2010/05/25 18:17, Driver, Call,,
2010/05/25 18:17, Driver, Eight,,
2010/05/25 18:17, Driver, triple one,,
2010/05/25 18:17, Driver, Six,,
2010/05/25 18:17, Driver, triple six,,
2010/05/25 18:17, System, Sorry, your number 8 1 1 1 6 6 6 6  is  too short . Cancelling the command...,
2010/05/25 18:17, Driver, <Button> Call,,
2010/05/25 18:17, Driver, Call,,
2010/05/25 18:17, Driver, Eight,,
2010/05/25 18:17, Driver, Cancel,,
2010/05/25 18:17, System, Cancelling...,,
2010/05/25 18:17, Driver, <Button> Call,,
2010/05/25 18:17, Driver, Call,,
2010/05/25 18:17, Driver, triple eight,,
2010/05/25 18:17, Driver, triple one,,
2010/05/25 18:17, Driver, Six,,
2010/05/25 18:17, Driver, triple six,,
2010/05/25 18:17, System, Sorry, your number 8 8 8 1 1 1 6 6 6 6  is  is not valid . Cancelling the command...,
2010/05/25 18:18, Driver, <Button> Call,,
2010/05/25 18:18, Driver, Call,,
2010/05/25 18:18, Driver, Zero,,
2010/05/25 18:18, Driver, Seven,,
2010/05/25 18:18, Driver, Seven,,
2010/05/25 18:18, Driver, Six,,
2010/05/25 18:18, Driver, Six,,
2010/05/25 18:18, Driver, Six,,
2010/05/25 18:18, Driver, Two,,
2010/05/25 18:18, Driver, Two,,
2010/05/25 18:18, Driver, Five,,
2010/05/25 18:18, System, Sorry, your number 0 7 7 6 6 6 2 2 5  is  too short . Cancelling the command...,
2010/05/25 18:18, Driver, Pair new phone,,
2010/05/25 18:18, System, Do you want to pair a new mobile phone? Say 'Yes' or 'No',,
2010/05/25 18:18, Driver, No,,
2010/05/25 18:18, System, Cancelling the pairing request.,,
2010/05/25 18:19, Driver, <Button> Call,,
2010/05/25 18:19, Driver, Call,,
2010/05/25 18:19, Driver, Zero,,
2010/05/25 18:19, Driver, Seven,,
2010/05/25 18:19, Driver, Seven,,
2010/05/25 18:19, Driver, triple six,,
2010/05/25 18:19, Driver, double two,,
2010/05/25 18:19, Driver, double five,,
2010/05/25 18:19, System, Do you want to dial 0776662255. Say 'Yes' or 'No',,
2010/05/25 18:19, Driver, Yes,,
2010/05/25 18:19, System, Dialling 0776662255,,
2010/05/25 18:19, System, Please, go to the next task,
2010/05/25 18:19, Driver, Redial,,
2010/05/25 18:19, System, Do you want to redial the last number 0776662255 ? Say 'Yes' or 'No',,
2010/05/25 18:19, Driver, Yes,,
